t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790095214.944,research-redis,0.52,39971717.12,7.45,8
1790095219.133,swift-order-service,0.12,9022996.48,0.84,70
1790095219.133,swift-product-service,0.13,11156848.64,1.04,70
1790095219.133,swift-user-service,153.66,45487226.88,4.24,80
1790095219.133,research-postgres,3.86,109051904.0,10.16,29
1790095219.133,research-redis,0.72,39961231.36,7.44,8
1790095223.316,swift-order-service,0.08,9011462.144,0.84,70
1790095223.316,swift-product-service,0.17,11156848.64,1.04,70
1790095223.316,swift-user-service,149.19,46389002.24,4.32,80
1790095223.316,research-postgres,4.7,109471334.4,10.20,29
1790095223.316,research-redis,2.39,39803944.96,7.42,8
1790095227.479,swift-order-service,0.02,9011462.144,0.84,70
1790095227.479,swift-product-service,0.01,11156848.64,1.04,70
1790095227.479,swift-user-service,148.6,54179921.92,5.05,86
1790095227.479,research-postgres,1.37,109156761.6,10.16,29
1790095227.479,research-redis,0.62,39961231.36,7.44,8
1790095231.671,swift-order-service,1.38,9125756.928,0.85,70
1790095231.671,swift-product-service,0.1,11156848.64,1.04,70
1790095231.671,swift-user-service,149.3,50394562.56,4.69,82
1790095231.671,research-postgres,1.62,109785907.2,10.23,29
1790095231.671,research-redis,0.59,40055603.2,7.46,8
1790095235.877,swift-order-service,0.02,9093251.072,0.85,70
1790095235.877,swift-product-service,0.02,11702108.16,1.09,70
1790095235.877,swift-user-service,148.19,48360325.12,4.50,81
1790095235.877,research-postgres,3.05,109261619.2,10.18,29
1790095235.877,research-redis,0.72,39531315.2,7.36,8
1790095240.083,swift-order-service,0.03,9089056.768,0.85,70
1790095240.083,swift-product-service,0.05,11702108.16,1.09,70
1790095240.083,swift-user-service,148.59,48748298.24,4.54,81
1790095240.083,research-postgres,1.34,109576192.0,10.20,29
1790095240.083,research-redis,0.57,39782973.44,7.41,8
1790095244.288,swift-order-service,0.02,8405385.216,0.78,70
1790095244.288,swift-product-service,0.02,10461642.752,0.97,70
1790095244.288,swift-user-service,148.46,49639587.84,4.62,81
1790095244.288,research-postgres,1.55,109471334.4,10.20,29
1790095244.288,research-redis,1.8,40066088.96,7.46,8
1790095248.473,swift-order-service,0.01,9003073.536,0.84,70
1790095248.473,swift-product-service,0.02,11565793.28,1.08,70
1790095248.473,swift-user-service,149.07,49796874.24,4.64,81
1790095248.473,research-postgres,3.12,109890764.8,10.23,29
1790095248.473,research-redis,0.59,39856373.76,7.42,8
1790095252.653,swift-order-service,0.12,9265217.536,0.86,70
1790095252.653,swift-product-service,0.18,11565793.28,1.08,70
1790095252.653,swift-user-service,148.76,49230643.2,4.58,81
1790095252.653,research-postgres,5.14,109366476.8,10.18,29
1790095252.653,research-redis,0.49,39887831.04,7.43,8
1790095256.831,swift-order-service,0.01,9265217.536,0.86,70
1790095256.831,swift-product-service,0.02,11565793.28,1.08,70
1790095256.831,swift-user-service,148.48,49650073.6,4.62,81
1790095256.831,research-postgres,2.07,111673344.0,10.40,30
1790095256.831,research-redis,0.6,39803944.96,7.42,8
1790095261.001,swift-order-service,0.11,9265217.536,0.86,70
1790095261.001,swift-product-service,2.15,11481907.2,1.07,70
1790095261.001,swift-user-service,150.09,48916070.4,4.56,81
1790095261.001,research-postgres,1.86,109261619.2,10.18,29
1790095261.001,research-redis,0.68,39604715.52,7.38,8
1790095265.154,swift-order-service,0.12,9372172.288,0.87,70
1790095265.154,swift-product-service,0.15,11387535.36,1.06,70
1790095265.154,swift-user-service,147.12,50782535.68,4.73,83
1790095265.154,research-postgres,0.76,109471334.4,10.20,29
1790095265.154,research-redis,0.48,39384514.56,7.34,8
1790095269.308,swift-order-service,0.1,9367977.984,0.87,70
1790095269.308,swift-product-service,0.12,11649679.36,1.08,71
1790095269.308,swift-user-service,147.1,49073356.8,4.57,81
1790095269.308,research-postgres,0.64,109051904.0,10.16,29
1790095269.308,research-redis,0.51,39332085.76,7.33,8
1790095273.455,swift-order-service,0.16,9363783.68,0.87,70
1790095273.455,swift-product-service,0.26,11649679.36,1.08,71
1790095273.455,swift-user-service,138.72,48360325.12,4.50,81
1790095273.455,research-postgres,2.41,109366476.8,10.18,29
1790095273.455,research-redis,0.71,39552286.72,7.37,8
