scenario,config,metric,n,median,iqr,note
soak,vapor,probe_p99_ms,5,29.4730,8.8628,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
soak,boot-t200,cpu_mean_percent_of_one_core,5,47.9978,0.8853,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
soak,boot-t200,gc_pause_count,5,43.0000,8.0000,Garbage-collection pauses during the window (JVM only)
soak,boot-t200,gc_pause_total_seconds,5,0.2020,0.1320,Total garbage-collection pause time in seconds (JVM only)
soak,boot-t200,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
soak,boot-t200,tomcat_busy_threads_peak,5,7.0000,1.0000,"Busy Tomcat threads, peak (JVM only)"
soak,boot-t200,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
soak,boot-t200,db_pool_pending_peak,5,0.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
soak,boot-t200,db_wait_mean_ms,5,0.3529,0.1090,"Mean time to acquire a database connection, milliseconds (JVM only)"
soak,boot-t200,probe_p50_ms,5,5.7760,0.2715,"Control-plane probe median, identical instrumentation on both stacks"
soak,boot-t200,probe_p95_ms,5,10.6730,0.0428,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
soak,boot-t200,probe_p99_ms,5,21.0286,4.4908,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
soak,boot-t64,cpu_mean_percent_of_one_core,5,47.9749,2.9094,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
soak,boot-t64,gc_pause_count,5,36.0000,10.0000,Garbage-collection pauses during the window (JVM only)
soak,boot-t64,gc_pause_total_seconds,5,0.1800,0.0730,Total garbage-collection pause time in seconds (JVM only)
soak,boot-t64,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
soak,boot-t64,tomcat_busy_threads_peak,5,5.0000,2.0000,"Busy Tomcat threads, peak (JVM only)"
soak,boot-t64,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
soak,boot-t64,db_pool_pending_peak,5,0.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
soak,boot-t64,db_wait_mean_ms,5,0.3497,0.1201,"Mean time to acquire a database connection, milliseconds (JVM only)"
soak,boot-t64,probe_p50_ms,5,5.7950,0.2075,"Control-plane probe median, identical instrumentation on both stacks"
soak,boot-t64,probe_p95_ms,5,10.7308,0.1393,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
soak,boot-t64,probe_p99_ms,5,26.1420,3.0229,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
soak,boot-vt,cpu_mean_percent_of_one_core,5,45.0439,1.8408,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
soak,boot-vt,gc_pause_count,5,16.0000,25.0000,Garbage-collection pauses during the window (JVM only)
soak,boot-vt,gc_pause_total_seconds,5,0.1200,0.0560,Total garbage-collection pause time in seconds (JVM only)
soak,boot-vt,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
soak,boot-vt,db_pool_pending_peak,5,0.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
soak,boot-vt,db_wait_mean_ms,5,9.3837,1.7157,"Mean time to acquire a database connection, milliseconds (JVM only)"
soak,boot-vt,probe_p50_ms,5,6.4845,0.1485,"Control-plane probe median, identical instrumentation on both stacks"
soak,boot-vt,probe_p95_ms,5,19.2282,14.9616,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
soak,boot-vt,probe_p99_ms,5,224.1792,9.3522,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
