scenario,config,config_label,metric,n,median,iqr,q1,q3,ci95_low,ci95_high
spike,vapor,Vapor,k6_cpu_peak_percent_of_one_core,5,26.5779,0.5844,26.4627,27.0471,26.0850,27.4592
spike,vapor,Vapor,k6_rss_peak_bytes,5,128401408.0000,1163264.0000,128352256.0000,129515520.0000,128040960.0000,129662976.0000
spike,vapor,Vapor,server_throughput_peak_rps,5,986.2000,5.4000,982.8000,988.2000,982.8000,993.8000
spike,vapor,Vapor,ep_get_users_p95_ms,5,18.8165,2.6471,16.5751,19.2223,16.5287,19.3778
spike,vapor,Vapor,ep_get_products_p95_ms,5,11.4540,1.0105,11.0270,12.0375,10.7334,12.1900
spike,boot-t200,"Spring Boot, Tomcat 200",client_p50_ms,5,3.2970,0.3320,3.1660,3.4980,3.0980,3.5330
spike,boot-t200,"Spring Boot, Tomcat 200",client_p95_ms,5,15.3090,1.4803,14.9689,16.4492,14.3798,17.9927
spike,boot-t200,"Spring Boot, Tomcat 200",client_p99_ms,5,23.1236,1.9629,22.5474,24.5103,21.6538,56.3681
spike,boot-t200,"Spring Boot, Tomcat 200",client_max_ms,5,338.8730,766.0230,71.8730,837.8960,40.5850,971.4090
spike,boot-t200,"Spring Boot, Tomcat 200",server_p50_ms,5,1.0776,0.0214,1.0651,1.0866,0.9948,1.1020
spike,boot-t200,"Spring Boot, Tomcat 200",server_p95_ms,5,4.3385,0.4349,4.0650,4.4999,4.0444,4.5299
spike,boot-t200,"Spring Boot, Tomcat 200",server_p99_ms,5,8.8670,0.9380,8.3658,9.3039,8.1632,10.0557
spike,boot-t200,"Spring Boot, Tomcat 200",server_mean_ms,5,1.8064,0.6008,1.5660,2.1669,1.5508,2.4939
spike,boot-t200,"Spring Boot, Tomcat 200",throughput_rps,5,432.7089,1.7811,431.0780,432.8591,428.9657,432.9895
spike,boot-t200,"Spring Boot, Tomcat 200",requests_total,5,65096.0000,282.0000,64842.0000,65124.0000,64666.0000,65162.0000
